Datum,Ertrag in kWh
01.06.23 22:00,--
01.06.23 22:15,--
01.06.23 22:30,--
01.06.23 22:45,--
01.06.23 23:00,--
01.06.23 23:15,--
01.06.23 23:30,--
01.06.23 23:45,--
02.06.23 00:00,--
02.06.23 00:15,--
02.06.23 00:30,--
02.06.23 00:45,--
02.06.23 01:00,--
02.06.23 01:15,--
02.06.23 01:30,--
02.06.23 01:45,--
02.06.23 02:00,--
02.06.23 02:15,--
02.06.23 02:30,--
02.06.23 02:45,--
02.06.23 03:00,--
02.06.23 03:15,--
02.06.23 03:30,0.000396319
02.06.23 03:45,2.710598532
02.06.23 04:00,19.63097541
02.06.23 04:15,32.67623202
02.06.23 04:30,49.66380946
02.06.23 04:45,67.26854197
02.06.23 05:00,85.37554169
02.06.23 05:15,117.0285441
02.06.23 05:30,124.7565308
02.06.23 05:45,140.9322357
02.06.23 06:00,163.4938304
02.06.23 06:15,221.7071482
02.06.23 06:30,265.7815348
02.06.23 06:45,328.0000102
02.06.23 07:00,377.8052572
02.06.23 07:15,423.7536112
02.06.23 07:30,538.9388733
02.06.23 07:45,767.9945679
02.06.23 08:00,1125.443522
02.06.23 08:15,1197.957825
02.06.23 08:30,1284.771667
02.06.23 08:45,1181.178365
02.06.23 09:00,1409.203735
02.06.23 09:15,1428.545125
02.06.23 09:30,1242.273641
02.06.23 09:45,2045.931803
02.06.23 10:00,2045.748657
02.06.23 10:15,1983.895223
02.06.23 10:30,2045.652059
02.06.23 10:45,2045.503092
02.06.23 11:00,2045.704061
02.06.23 11:15,2045.652466
02.06.23 11:30,2045.589722
02.06.23 11:45,2045.705851
02.06.23 12:00,2045.683472
02.06.23 12:15,1714.205688
02.06.23 12:30,1657.159668
02.06.23 12:45,1649.273702
02.06.23 13:00,1600.565715
02.06.23 13:15,2037.440999
02.06.23 13:30,1692.148763
02.06.23 13:45,1435.475525
02.06.23 14:00,1663.615356
02.06.23 14:15,1523.372884
02.06.23 14:30,1242.355347
02.06.23 14:45,1193.820903
02.06.23 15:00,1142.051636
02.06.23 15:15,939.738383
02.06.23 15:30,789.9884847
02.06.23 15:45,661.7513224
02.06.23 16:00,496.13797
02.06.23 16:15,357.1901754
02.06.23 16:30,246.1200918
02.06.23 16:45,170.9819489
02.06.23 17:00,137.0086161
02.06.23 17:15,124.5822093
02.06.23 17:30,110.5400594
02.06.23 17:45,95.41858673
02.06.23 18:00,81.13114675
02.06.23 18:15,67.22008006
02.06.23 18:30,52.33243561
02.06.23 18:45,36.89411354
02.06.23 19:00,6.638617833
02.06.23 19:15,7.006116152
02.06.23 19:30,-6.660150448
02.06.23 19:45,-11.49981626
02.06.23 20:00,-12.03712559
02.06.23 20:15,--
02.06.23 20:30,--
02.06.23 20:45,--
02.06.23 21:00,--
02.06.23 21:15,--
02.06.23 21:30,--
02.06.23 21:45,--
